Radius,Area,Volume,Weight,Class
290.558,1.06E+06,1.03E+08,0.521353,B
1409.06,2.50E+07,1.17E+10,0.570625,A
1194.47,1.79E+07,7.14E+09,0.554234,B
1484.89,2.77E+07,1.37E+10,0.562834,B
1429.57,2.57E+07,1.22E+10,0.52728,C
1428.26,2.56E+07,1.22E+10,0.56445,B
1297.75,2.12E+07,9.15E+09,0.567098,A
1324.04,2.20E+07,9.72E+09,0.520607,B
1202.32,1.82E+07,7.28E+09,0.529508,B
1127.23,1.60E+07,6.00E+09,0.529221,B
1463.22,2.69E+07,1.31E+10,0.572514,B
1505.84,2.85E+07,1.43E+10,0.5561,B
907.873,1.04E+07,3.13E+09,0.572703,B
929.234,1.09E+07,3.36E+09,0.554636,B
1194.58,1.79E+07,7.14E+09,0.562997,B
1194.58,1.79E+07,7.14E+09,0.562997,B
1432.95,2.58E+07,1.23E+10,0.565851,B
1299.59,2.12E+07,9.19E+09,0.567348,B
1350,2.29E+07,1.03E+10,0.559299,B
1380.08,2.39E+07,1.10E+10,0.574563,C
1621.55,3.30E+07,1.79E+10,0.536249,B
1633.12,3.35E+07,1.82E+10,0.561322,C
1562.27,3.07E+07,1.60E+10,0.579634,B
1324.16,2.20E+07,9.73E+09,0.52872,B
1248.42,1.96E+07,8.15E+09,0.54848,B
1400.56,2.46E+07,1.15E+10,0.540301,B
1232.97,1.91E+07,7.85E+09,0.529432,B
1192.2,1.79E+07,7.10E+09,0.552586,B
1182.95,1.76E+07,6.93E+09,0.565341,B
1342.45,2.26E+07,1.01E+10,0.575097,B
1262.87,2.00E+07,8.44E+09,0.588707,B
940.409,1.11E+07,3.48E+09,0.50038,B
945.999,1.12E+07,3.55E+09,0.509743,B
1186.97,1.77E+07,7.01E+09,0.536685,B
1157.13,1.68E+07,6.49E+09,0.598477,B
1277.95,2.05E+07,8.74E+09,0.587478,B
1277.95,2.05E+07,8.74E+09,0.587478,B
1133.99,1.62E+07,6.11E+09,0.578977,B
955.988,1.15E+07,3.66E+09,0.49923,A
1207.44,1.83E+07,7.37E+09,0.470945,B
1245.65,1.95E+07,8.10E+09,0.630434,B
1163.66,1.70E+07,6.60E+09,0.564117,B
1244.9,1.95E+07,8.08E+09,0.619408,B
1179.1,1.75E+07,6.87E+09,0.553549,B
1423.18,2.55E+07,1.21E+10,0.56864,B
1304.91,2.14E+07,9.31E+09,0.617316,B
1057.12,1.40E+07,4.95E+09,0.571488,B
1025.98,1.32E+07,4.52E+09,0.567172,A
1023.3,1.32E+07,4.49E+09,0.5395,B
1167.59,1.71E+07,6.67E+09,0.60303,B
1003.6,1.27E+07,4.23E+09,0.57417,B
1059.77,1.41E+07,4.99E+09,0.573735,A
867.779,9.46E+06,2.74E+09,0.569998,B
857.235,9.23E+06,2.64E+09,0.608084,A
